INITIAL Pthread policy is SCHED_OTHER
ADJUSTED Pthread policy is SCHED_FIFO
main thread running on CPU=0, CPUs = 0 1 2 3
starter thread running on CPU=3

Thread idx=0, sum[0...0]=0, running on CPU=3, start=1655324881.749280, stop=1655324881.778022
Thread idx=1, sum[0...1]=1, running on CPU=3, start=1655324881.778495, stop=1655324881.830629
Thread idx=2, sum[0...2]=3, running on CPU=3, start=1655324881.830860, stop=1655324881.906042
Thread idx=3, sum[0...3]=6, running on CPU=3, start=1655324881.906206, stop=1655324882.004770
Thread idx=4, sum[0...4]=10, running on CPU=3, start=1655324882.004904, stop=1655324882.126811
Thread idx=5, sum[0...5]=15, running on CPU=3, start=1655324882.126981, stop=1655324882.272290
Thread idx=6, sum[0...6]=21, running on CPU=3, start=1655324882.272429, stop=1655324882.441069
Thread idx=7, sum[0...7]=28, running on CPU=3, start=1655324882.441184, stop=1655324882.636243
Thread idx=8, sum[0...8]=36, running on CPU=3, start=1655324882.636458, stop=1655324882.863395
Thread idx=9, sum[0...9]=45, running on CPU=3, start=1655324882.863503, stop=1655324882.990519
Thread idx=10, sum[0...10]=55, running on CPU=3, start=1655324882.990600, stop=1655324883.129344
Thread idx=11, sum[0...11]=66, running on CPU=3, start=1655324883.129492, stop=1655324883.279880
Thread idx=12, sum[0...12]=78, running on CPU=3, start=1655324883.279953, stop=1655324883.442008
Thread idx=13, sum[0...13]=91, running on CPU=3, start=1655324883.442095, stop=1655324883.615809
Thread idx=14, sum[0...14]=105, running on CPU=3, start=1655324883.615875, stop=1655324883.854129
Thread idx=15, sum[0...15]=120, running on CPU=3, start=1655324883.854218, stop=1655324884.051291
Thread idx=16, sum[0...16]=136, running on CPU=3, start=1655324884.051355, stop=1655324884.260091
Thread idx=17, sum[0...17]=153, running on CPU=3, start=1655324884.260151, stop=1655324884.480561
Thread idx=18, sum[0...18]=171, running on CPU=3, start=1655324884.480623, stop=1655324884.765568
Thread idx=19, sum[0...19]=190, running on CPU=3, start=1655324884.765632, stop=1655324885.009410
Thread idx=20, sum[0...20]=210, running on CPU=3, start=1655324885.009472, stop=1655324885.264906
Thread idx=21, sum[0...21]=231, running on CPU=3, start=1655324885.264967, stop=1655324885.532384
Thread idx=22, sum[0...22]=253, running on CPU=3, start=1655324885.532548, stop=1655324885.909528
Thread idx=23, sum[0...23]=276, running on CPU=3, start=1655324885.909666, stop=1655324886.200131
Thread idx=24, sum[0...24]=300, running on CPU=3, start=1655324886.200209, stop=1655324886.502342
Thread idx=25, sum[0...25]=325, running on CPU=3, start=1655324886.502409, stop=1655324886.869096
Thread idx=26, sum[0...26]=351, running on CPU=3, start=1655324886.869180, stop=1655324887.194675
